mbti,variable,value
ENFJ,danceability,-0.08996296035384307
ENFP,danceability,0.2930731829490074
ENTJ,danceability,0.4870663651731638
ENTP,danceability,0.4853858743892368
ESFJ,danceability,0.035509317273778734
ESFP,danceability,0.570675786165214
ESTJ,danceability,0.43840332998916187
ESTP,danceability,0.5440051899807239
INFJ,danceability,-0.5541711119638235
INFP,danceability,-0.3422676504386824
INTJ,danceability,-0.3717299993430886
INTP,danceability,-0.30008542018652
ISFJ,danceability,-0.4507113269808271
ISFP,danceability,-0.24637711926265432
ISTJ,danceability,-0.4270157704299715
ISTP,danceability,0.07301684563057005
ENFJ,energy,-0.1874930252137276
ENFP,energy,0.2646822172972451
ENTJ,energy,0.3695548494130478
ENTP,energy,0.46520735799951296
ESFJ,energy,-0.055437793312297874
ESFP,energy,0.4974593679568298
ESTJ,energy,0.21234049235661226
ESTP,energy,0.6077023117521437
INFJ,energy,-0.6065611461225479
INFP,energy,-0.5406439315726835
INTJ,energy,-0.03186442446000721
INTP,energy,-0.026256916940491926
ISFJ,energy,-0.793613063847854
ISFP,energy,-0.1434902678042705
ISTJ,energy,-0.4084248330638819
ISTP,energy,0.22253670566374145
ENFJ,loudness,-0.10308039114405615
ENFP,loudness,0.21871392154589775
ENTJ,loudness,0.37020069584305154
ENTP,loudness,0.36829818271465287
ESFJ,loudness,0.11223494226412625
ESFP,loudness,0.42280451096395766
ESTJ,loudness,0.2570573397493618
ESTP,loudness,0.4425797498469324
INFJ,loudness,-0.426525409270651
INFP,loudness,-0.3736318663349317
INTJ,loudness,-0.11202030949188317
INTP,loudness,-0.25524375218524137
ISFJ,loudness,-0.5690249588870072
ISFP,loudness,-0.01666235608431452
ISTJ,loudness,-0.44711337547979807
ISTP,loudness,0.11891687038279726
ENFJ,mode,0.43681908845591494
ENFP,mode,0.26287818260015916
ENTJ,mode,-0.7744849948981877
ENTP,mode,-0.5402290149304648
ESFJ,mode,0.39344783830026336
ESFP,mode,-0.047027466946336256
ESTJ,mode,-0.4784509726413952
ESTP,mode,-0.34556844776147544
INFJ,mode,0.23961612089456497
INFP,mode,0.35269647601034204
INTJ,mode,-0.43806251201567636
INTP,mode,0.030725083906723696
ISFJ,mode,0.8743128589442701
ISFP,mode,0.20399447002952392
ISTJ,mode,0.2889518821985948
ISTP,mode,-0.14494637005607458
ENFJ,speechiness,-0.21874087560512406
ENFP,speechiness,-0.16219612452293813
ENTJ,speechiness,0.6041100774771582
ENTP,speechiness,0.43464643805637143
ESFJ,speechiness,-0.1913212695694527
ESFP,speechiness,0.12073403038630184
ESTJ,speechiness,0.450386180304493
ESTP,speechiness,0.7197848681872256
INFJ,speechiness,-0.5048370052457143
INFP,speechiness,-0.28174913674551
INTJ,speechiness,-0.013945525790934402
INTP,speechiness,-0.12372934306240044
ISFJ,speechiness,-0.5070480527329236
ISFP,speechiness,-0.2950302002978177
ISTJ,speechiness,-0.37644549603337685
ISTP,speechiness,0.24364229904047832
ENFJ,acousticness,0.17382837727162267
ENFP,acousticness,-0.13149108426568856
ENTJ,acousticness,-0.4716429904459812
ENTP,acousticness,-0.5894698257914349
ESFJ,acousticness,0.12207073238252124
ESFP,acousticness,-0.4236401492768413
ESTJ,acousticness,-0.2587964409592968
ESTP,acousticness,-0.5940398785242819
INFJ,acousticness,0.6495167956869076
INFP,acousticness,0.6225742339204762
INTJ,acousticness,-0.0636742585375179
INTP,acousticness,-0.021174870250996645
ISFJ,acousticness,0.9350207893391641
ISFP,acousticness,0.1883948650087363
ISTJ,acousticness,0.39737329083166384
ISTP,acousticness,-0.31498817790719785
ENFJ,liveness,-0.2890095817134879
ENFP,liveness,0.12736485546638582
ENTJ,liveness,0.21136246489104354
ENTP,liveness,0.4163655879587731
ESFJ,liveness,-0.08349134022728251
ESFP,liveness,0.26204629868192436
ESTJ,liveness,-0.028045976087001597
ESTP,liveness,0.47228773339143887
INFJ,liveness,-0.4154452699781484
INFP,liveness,-0.4240072279032934
INTJ,liveness,-0.09066927050223811
INTP,liveness,-0.02419717231382838
ISFJ,liveness,-0.416416757415071
ISFP,liveness,-0.08764969327236424
ISTJ,liveness,-0.25706300305535834
ISTP,liveness,0.41773360712095003
ENFJ,valence,0.015683870124769985
ENFP,valence,0.5348065608011057
ENTJ,valence,0.19103825204958427
ENTP,valence,0.5410308302144065
ESFJ,valence,0.24039092577117965
ESFP,valence,0.7839506452124768
ESTJ,valence,0.29538308179771994
ESTP,valence,0.5455149640191784
INFJ,valence,-0.6244515067075531
INFP,valence,-0.4868921427663936
INTJ,valence,-0.48304560019026943
INTP,valence,-0.2713666126809484
ISFJ,valence,-0.5254975380947149
ISFP,valence,-0.2161689006194319
ISTJ,valence,-0.3346904547784518
ISTP,valence,0.05125188615717732
ENFJ,tempo,-0.02917718531151238
ENFP,tempo,0.09893609310369036
ENTJ,tempo,0.08975275556497964
ENTP,tempo,0.15004054694845026
ESFJ,tempo,-0.1233810944514477
ESFP,tempo,0.14992726853088884
ESTJ,tempo,-0.007501127197346718
ESTP,tempo,0.3473102441886408
INFJ,tempo,-0.4050949287762095
INFP,tempo,-0.20930466752905996
INTJ,tempo,0.05813752027805266
INTP,tempo,0.10923355854591563
ISFJ,tempo,-0.12580297796617124
ISFP,tempo,-0.09590909392981412
ISTJ,tempo,-0.08804247794503016
ISTP,tempo,-0.029373144323507436
ENFJ,instrumentalness,-0.14588495938554236
ENFP,instrumentalness,-0.18142261378282384
ENTJ,instrumentalness,-0.21677867501221582
ENTP,instrumentalness,-0.084520864659034
ESFJ,instrumentalness,-0.2852389424464055
ESFP,instrumentalness,-0.3067196499230696
ESTJ,instrumentalness,-0.03420570778678697
ESTP,instrumentalness,-0.2168768091704305
INFJ,instrumentalness,0.1355909237864028
INFP,instrumentalness,0.0936995310247913
INTJ,instrumentalness,0.3891758042188977
